,Spécialité,Domaine,Durée (année),Type Diplôme,Diplômés,id_
2,Construction Bâtiment,Métiers du bâtiment et autres,2 ans,Diplome,46,194
3,Electrotechnique/Electromecanique,Métiers du bâtiment et autres,3 ans,Diplome,56,194
4,Plomberie,Métiers du bâtiment et autres,1,Certificat,30,194
5,Electricité,Métiers du bâtiment et autres,1,Certificat,88,194
6,Arts ménagers,"Tourisme, Hôtellerie et Restauration",1,Certificat,120,194
1,Haute Couture,"Arts, Culture, Design et mode",-,Technique,-,104
2,Coupe - Confect.Féminine,"Arts, Culture, Design et mode",-,Technique,-,104
3,Cuisine,"Tourisme, Hôtellerie et Restauration",-,Technique,-,104
4,Patisserie,"Tourisme, Hôtellerie et Restauration",-,Technique,-,104
1,Coupe - Confect.Féminine,"Arts, Culture, Design et mode",2,Technique,20,108
1,Mécanique Auto - Diesel,Mécanique,2,Technique,102,109
2,Injection à Essence,Mécanique,2,Technique,100,109
1,Travaux du cuir,"Arts, Culture, Design et mode",2,Technique,20,110
2,Artisanat,"Arts, Culture, Design et mode",2,Technique,22,110
3,Coupe - Confect.Féminine,"Arts, Culture, Design et mode",2,Technique,25,110
4,Topographie,Sciences de l’Ingénieur,2,Technique,20,110
5,Dessin Industriel,Sciences Informatiques,2,Technique,20,110
1,Artisanat,Artisanat,2,Technique,30,281
2,Charpenterie,Métiers du bâtiment et autres,2,Technique,25,281
3,Restauration,"Tourisme, Hôtellerie et Restauration",2,Technique,30,281
1,Sciences Infirmières,Santé et Professions médicales,4,Certificat,30,260
2,Technologie médicale,Santé et Professions médicales,3,Certificat,25,260
1,Auxiliaire,Santé et Professions médicales,2 ans,Technique,10,75
1,Auxiliaire,Santé et Professions médicales,2,Certificat,25,252
2,Sciences Infirmières,Santé et Professions médicales,4 ans,Technique,30,252
1,Auxiliaire,Santé et Professions médicales,2,Diplome,16,247
1,Sciences Infirmières,Santé et Professions médicales,4 ans,Technique,30,367
1,Sciences Infirmières,Santé et Professions médicales,4 ans,Diplome,40,364
1,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2,Certificat,20,135
2,Technique Informatique,Sciences Informatiques,1,Certificat,15,135
3,Secrétariat,Secrétariat,2,Technique,18,135
1,Technique Informatique,Sciences Informatiques,1,Technique,25-30,300
1,Gestion de Projets,"Management/Gestion, Finance, Comptabilité et Commerce",2,Diplome,93,264
2,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",2,Diplome,60,264
3,Entrepreneuriat,"Management/Gestion, Finance, Comptabilité et Commerce",2,Diplome,71,264
4,Restauration,"Tourisme, Hôtellerie et Restauration",2,Diplome,96,264
1,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2,Diplome,15,171
2,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",2,Technique,15,171
3,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,-,171
4,Techniques Bancaires,"Management/Gestion, Finance, Comptabilité et Commerce",1,Technique,-,171
5,Marketing,Marketing,2,Technique,-,171
6,Auxiliaire,Santé et Professions médicales,2,Diplome,60,171
7,Sciences Infirmières,Santé et Professions médicales,4,Licence,-,171
8,Technique Informatique,Sciences Informatiques,1,Technique,-,171
9,Assistante Administrative,Secrétariat,1,Technique,-,171
10,Secrétariat,Secrétariat,2,Technique,-,171
1,Secrétariat,Secrétariat,3,Technique,40,28
1,Secrétariat,Secrétariat,3 ans,Diplome,10 a 35,29
1,Coupe couture,"Arts, Culture, Design et mode",3,Diplome,10 à 30,197
2,Cuisine,"Tourisme, Hôtellerie et Restauration",1,Diplome,10 à 30,197
3,Patisserie,"Tourisme, Hôtellerie et Restauration",1,Diplome,10 à 30,197
1,Sciences Infirmières,Santé et Professions médicales,4 ans,Diplome,50,346
1,Technique Agricole,Agriculture – Agroalimentaire,2,Certificat,45,234
2,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",2,Certificat,55,234
1,Sciences Infirmières,Santé et Professions médicales,4 ans,Diplome,40,368
1,Coupe - Confect.Féminine,"Arts, Culture, Design et mode",2,Technique,18,142
2,Cuisine,"Tourisme, Hôtellerie et Restauration",1,Technique,20,142
1,Restauration,"Tourisme, Hôtellerie et Restauration",1,Technique,193,172
2,Cuisine,"Tourisme, Hôtellerie et Restauration",1,Technique,193,172
3,Hôtellerie,"Tourisme, Hôtellerie et Restauration",1,Technique,193,172
4,Tourisme,"Tourisme, Hôtellerie et Restauration",1,Technique,193,172
1,Droit,Droit,2 ans,Diplome,60,271
2,Langues vivantes,Langues et Lettres,2 ans,Diplome,60,271
3,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",2 ans,Diplome,60,271
4,Nutrition,Santé et Professions médicales,2 ans,Diplome,60,271
5,Technique Informatique,Sciences Informatiques,2 ans,Diplome,60,271
6,Cuisine,"Tourisme, Hôtellerie et Restauration",2 ans,Diplome,60,271
7,Restauration,"Tourisme, Hôtellerie et Restauration",2 ans,Diplome,60,271
8,Patisserie,"Tourisme, Hôtellerie et Restauration",2 ans,Diplome,60,271
9,Tourisme,"Tourisme, Hôtellerie et Restauration",2 ans,Diplome,60,271
10,Cuisine,"Tourisme, Hôtellerie et Restauration",1 an,Certificat,60,271
11,Restauration,"Tourisme, Hôtellerie et Restauration",1 an,Certificat,60,271
12,Patisserie,"Tourisme, Hôtellerie et Restauration",1 an,Certificat,60,271
1,Coupe - Confect.Féminine,"Arts, Culture, Design et mode",3,Technique,15,143
2,Art - Floral,"Arts, Culture, Design et mode",10,Technique,5,143
3,Décoration et Architecture d’intérieur,"Arts, Culture, Design et mode",10 mois,Technique,11,143
4,Cuisine,"Tourisme, Hôtellerie et Restauration",10,Technique,30,143
5,Patisserie,"Tourisme, Hôtellerie et Restauration",10,Technique,8,143
1,Technologie médicale,Santé et Professions médicales,-,Certificat,-,259
1,Coupe couture,"Arts, Culture, Design et mode",2 ans,Technique,3,326
2,Mécanique Auto - Diesel,Mécanique,2 ans,Technique,3,326
3,Ebenisterie,Métiers du bâtiment et autres,2 ans,Technique,3,326
4,Ferronnerie Soudure,Métiers du bâtiment et autres,2 ans,Technique,4,326
5,Technique Informatique,Sciences Informatiques,1 an,Technique,4,326
1,Droit,Droit,2,Technique,24,33
2,Finance et Banque,"Management/Gestion, Finance, Comptabilité et Commerce",2,Technique,20,33
3,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2,Technique,21,33
4,Economie,Sciences économiques et politiques,2,Technique,20,33
1,Sciences Infirmières,Santé et Professions médicales,4 ans,Technique,59,347
1,Sciences Infirmières,Santé et Professions médicales,4 ans,Diplome,55,348
1,Sciences Infirmières,Santé et Professions médicales,4 ans,Diplome,124,349
1,Environnement,Environnement et Sciences de la Terre,4,Licence,20,35
2,Géologie Appliquée,Géologie,4,Licence,30,35
3,Etude des Eaux de Surface,Géologie,4,Licence,15,35
4,Etude des Eaux souterraines,Géologie,4,Licence,15,35
5,Mécanique des Sols,Géologie,4,Licence,20,35
6,Mécanique des Roches,Géologie,4,Licence,20,35
7,Matériaux de Construction,Géologie,4,Licence,20,35
1,Arts plastiques,"Arts, Culture, Design et mode",4 ans,Technique,40,32
1,Mécanique Industrielle,Mécanique,2 ans,Technique,-,144
2,Mécanique Auto - Diesel,Mécanique,2 ans,Technique,-,144
3,Electronique/Autotronique,Métiers du bâtiment et autres,2,Technique,-,144
4,Electrotechnique/Electromecanique,Métiers du bâtiment et autres,2 ans,Technique,-,144
5,Réseau,Sciences Informatiques,2 ans,Technique,-,144
6,Secrétariat,Secrétariat,2 ans,Certificat,-,144
1,Sciences Infirmières,Santé et Professions médicales,4,Diplome,102,36
1,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",3,Licence,38,37
1,Coupe couture,"Arts, Culture, Design et mode",1,Technique,11,145
2,Mécanique automobile,Mécanique,2,Technique,18,145
3,Electricité,Métiers du bâtiment et autres,2,Technique,29,145
4,Ebenisterie,Métiers du bâtiment et autres,2,Technique,17,145
5,Plomberie,Métiers du bâtiment et autres,2,Technique,23,145
6,Secrétariat,Secrétariat,2,Technique,26,145
1,Chimie,Biologie/Chimie,4,Licence,34,20
2,Langues vivantes,Langues et Lettres,4,Licence,34,20
3,Lettres,Langues et Lettres,4,Licence,34,20
4,Maths/Physique,Mathématiques/Physique,4,Licence,34,20
5,Enseignement fondamental et secondaire,Sciences de l’Education,4,Licence,34,20
6,Philosophie,Sciences Humaines et Sociales,4,Licence,34,20
7,Sciences Sociales,Sciences Humaines et Sociales,4,Licence,34,20
1,Sciences Infirmières,Santé et Professions médicales,4 ans,Technique,80,350
1,Coupe - Confect. masculine,"Arts, Culture, Design et mode",-,Technique,-,151
2,Coupe - Confect.Féminine,"Arts, Culture, Design et mode",-,Technique,-,151
3,Artisanat,"Arts, Culture, Design et mode",-,Technique,-,151
4,Mécanique Auto - Diesel,Mécanique,-,Technique,-,151
5,Mécanique Ajustage,Mécanique,-,Technique,-,151
6,Ebenisterie,Métiers du bâtiment et autres,-,Technique,-,151
7,Dessin Industriel,Sciences Informatiques,-,Technique,-,151
8,Télécommunication,Sciences Informatiques,-,Technique,-,151
1,Mécanique automobile,Mécanique,2,Technique,12-20,158
2,Plomberie,Métiers du bâtiment et autres,2,Technique,18,158
3,Cuisine,"Tourisme, Hôtellerie et Restauration",-,Technique,-,158
1,Coupe couture,"Arts, Culture, Design et mode",2,Technique,30,160
2,Mécanique automobile,Mécanique,2,Technique,25,160
3,Mécanique Ajustage,Mécanique,2,Technique,45,160
4,Construction Bâtiment,Métiers du bâtiment et autres,2,Technique,48,160
5,Electricité,Métiers du bâtiment et autres,2,Technique,30,160
6,Ebenisterie,Métiers du bâtiment et autres,2,Technique,40,160
7,Télécommunication,Sciences Informatiques,2,Technique,50,160
1,Construction Bâtiment,Métiers du bâtiment et autres,2 ans,Technique,12,161
2,Ebenisterie,Métiers du bâtiment et autres,2 ans,Technique,15,161
3,Plomberie,Métiers du bâtiment et autres,2,Technique,10,161
4,Technique Informatique,Sciences Informatiques,1,Technique,17 @ 20,161
5,Arts ménagers,"Tourisme, Hôtellerie et Restauration",2,Technique,10-17,161
1,Construction Bâtiment,Métiers du bâtiment et autres,2 ans,Technique,6,198
1,Mécanique Ajustage,Mécanique,2,Technique,17-20,328
2,Construction Bâtiment,Métiers du bâtiment et autres,2,Technique,25-30,328
1,Construction Bâtiment,Métiers du bâtiment et autres,2,Technique,25,329
2,Electricité,Métiers du bâtiment et autres,2,Technique,34,329
1,Technique Informatique,Sciences Informatiques,1,Technique,15,309
2,Dépannage d'ordinateurs,Sciences Informatiques,18 mois,Technique,20,309
1,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2 ans,Technique,10,375
2,Construction Bâtiment,Métiers du bâtiment et autres,2 ans,Technique,10,375
3,Technique Informatique,Sciences Informatiques,3,Technique,10,375
4,Technique Informatique,Sciences Informatiques,24 mois,Technique,10,375
1,Technique Agricole,Agriculture – Agroalimentaire,3,Diplome,30 - 35,149
2,Coupe couture,"Arts, Culture, Design et mode",2,Diplome,10 - 20,149
3,- - Non-defini - -,Electricité,2,Diplome,10 - 20,149
4,Mécanique Ajustage,Mécanique,2,Diplome,10 - 20,149
5,Mécanique Auto - Diesel,Mécanique,2,Diplome,10 - 20,149
6,Ebenisterie,Métiers du bâtiment et autres,2,Diplome,10 - 20,149
7,Construction Bâtiment,Métiers du bâtiment et autres,2,Diplome,10 - 20,149
1,Coupe - Confect. masculine,"Arts, Culture, Design et mode",2,Technique,15-20,162
2,Coupe - Confect.Féminine,"Arts, Culture, Design et mode",2,Technique,15-20,162
3,Mécanique Auto - Diesel,Mécanique,3,Technique,15-20,162
4,Plomberie,Métiers du bâtiment et autres,2,Technique,15-20,162
5,Réfrigération,Métiers du bâtiment et autres,2,Technique,15-20,162
6,Electricité,Métiers du bâtiment et autres,2,Technique,15-20,162
7,Informatique de Gestion,Sciences Informatiques,3,Technique,15-20,162
1,Coupe - Confect. masculine,"Arts, Culture, Design et mode",2,Technique,17,163
2,Coupe - Confect.Féminine,"Arts, Culture, Design et mode",2,Technique,15,163
3,Anglais,Langues et Lettres,1,Technique,15,163
4,Français Langue étrangère (FLE),Langues et Lettres,1,Technique,16,163
5,Espagnol,Langues et Lettres,1,Technique,15,163
6,Physique,Mathématiques/Physique,2,Technique,15,163
7,Mécanique Auto - Diesel,Mécanique,2,Technique,19,163
8,Construction Bâtiment,Métiers du bâtiment et autres,2,Technique,20,163
9,Ferronnerie Soudure,Métiers du bâtiment et autres,2,Technique,16,163
10,Electronique/Autotronique,Métiers du bâtiment et autres,2,Technique,13,163
11,Electricité,Métiers du bâtiment et autres,2,Technique,16,163
12,Plomberie,Métiers du bâtiment et autres,2,Technique,15,163
13,Ebenisterie,Métiers du bâtiment et autres,2,Technique,14,163
1,Coupe - Confect.Féminine,"Arts, Culture, Design et mode",3,Technique,23,164
2,Broderie,"Arts, Culture, Design et mode",3,Technique,20,164
3,Construction Bâtiment,Métiers du bâtiment et autres,3,Technique,25,164
4,Electricité,Métiers du bâtiment et autres,3,Technique,25,164
5,Ebenisterie,Métiers du bâtiment et autres,3,Technique,20,164
6,Cuisine,"Tourisme, Hôtellerie et Restauration",3,Technique,16,164
7,Patisserie,"Tourisme, Hôtellerie et Restauration",3,Technique,18,164
1,Artisanat,"Arts, Culture, Design et mode",1,Technique,20,157
2,Coupe couture,"Arts, Culture, Design et mode",2 ans,Technique,30,157
3,Construction Bâtiment,Métiers du bâtiment et autres,2,Technique,25,157
4,Electricité,Métiers du bâtiment et autres,1,Technique,19,157
1,Plomberie,Métiers du bâtiment et autres,1,Technique,20,270
2,Réfrigération,Métiers du bâtiment et autres,1,Technique,20,270
3,Electricité,Métiers du bâtiment et autres,1,Technique,20,270
4,Dépannage d'ordinateurs,Sciences Informatiques,1,Technique,20,270
1,Coupe - Confect.Féminine,"Arts, Culture, Design et mode",2,Certificat,30,199
1,Techniques Douanières,Douane,1,Certificat,14,200
2,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2,Diplome,15,200
3,Gestion des ONG,"Management/Gestion, Finance, Comptabilité et Commerce",2,Diplome,12,200
4,Electricité Auto,Mécanique,2,Certificat,16,200
5,Mécanique automobile,Mécanique,2,Certificat,12,200
6,Construction Bâtiment,Métiers du bâtiment et autres,2,Certificat,17,200
7,Ferronnerie Soudure,Métiers du bâtiment et autres,2,Certificat,13,200
8,Electronique/Autotronique,Métiers du bâtiment et autres,2,Certificat,17,200
9,Plomberie,Métiers du bâtiment et autres,2,Certificat,11,200
10,Réfrigération,Métiers du bâtiment et autres,2,Certificat,13,200
11,Ebenisterie,Métiers du bâtiment et autres,2,Certificat,15,200
12,Technique Informatique,Sciences Informatiques,1,Certificat,14,200
1,Mécanique Auto - Diesel,Mécanique,2,Technique,15,335
2,Electricité Auto,Mécanique,2,Technique,30,335
3,Electrotechnique/Electromecanique,Métiers du bâtiment et autres,2,Technique,30,335
1,Arts plastiques,"Arts, Culture, Design et mode",3,Technique,20-40,156
2,Coupe - Confect.Féminine,"Arts, Culture, Design et mode",3,Technique,20-40,156
3,Art - Floral,"Arts, Culture, Design et mode",3,Technique,20-40,156
4,Broderie,"Arts, Culture, Design et mode",3,Technique,20-40,156
5,Cuisine,"Tourisme, Hôtellerie et Restauration",3,Technique,20-40,156
1,Coupe couture,"Arts, Culture, Design et mode",2,Technique,53,312
2,Plomberie,Métiers du bâtiment et autres,2,Technique,16,312
3,Electricité,Métiers du bâtiment et autres,2,Technique,26,312
4,Cuisine,"Tourisme, Hôtellerie et Restauration",1,Technique,60,312
1,Sciences Infirmières,Santé et Professions médicales,4,Diplome,30-40,243
1,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",4,Master 1,38,1
2,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",3,Licence,38,1
3,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",4,Master 1,38,1
4,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",3,Licence,38,1
5,Sciences Informatiques,Sciences Informatiques,4,Master 1,90,1
6,Sciences Informatiques,Sciences Informatiques,3,Licence,90,1
1,Construction Bâtiment,Métiers du bâtiment et autres,2,Technique,33,236
2,Hôtellerie,"Tourisme, Hôtellerie et Restauration",2,Technique,23,236
1,Construction Bâtiment,Métiers du bâtiment et autres,2,Technique,20,303
2,Electricité,Métiers du bâtiment et autres,2,Technique,15,303
3,Plomberie,Métiers du bâtiment et autres,2,Technique,25,303
1,Technique Informatique,Dactylographie,-,Technique,-,152
2,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",-,Technique,-,152
3,Technique Informatique,Sciences Informatiques,-,Technique,-,152
1,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,26,216
2,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,40,216
3,Secrétariat,Secrétariat,2,Diplome,10,216
4,Secrétariat,Secrétariat,2,Diplome,12,216
1,Production Animale ou Zootechnie,Agriculture – Agroalimentaire,3,Diplome,5,19
2,Economie rurale,Agriculture – Agroalimentaire,3,Diplome,66,19
3,Génie Rural,Agriculture – Agroalimentaire,4,Diplome,20,19
4,Technologie Alimentaire,Agriculture – Agroalimentaire,3,Diplome,20,19
5,Production végétale,Agriculture – Agroalimentaire,3,Diplome,20,19
6,Développement rural,Agriculture – Agroalimentaire,3,Diplome,66,19
1,Psychologie,Sciences Humaines et Sociales,4,Licence,80,16
2,Anthropologie,Sciences Humaines et Sociales,4,Licence,20,16
3,Sociologie,Sciences Humaines et Sociales,4,Licence,80,16
4,Sciences du Développement,Sciences Humaines et Sociales,4,Master 1,10,16
1,Droit,Droit,4,Licence,194,12
2,Administration judiciaire,Droit,4 ans,Master 1,100,12
3,Economie,Sciences économiques et politiques,4,Licence,147,12
1,Linguistique,Langues et Lettres,4,Licence,70,13
1,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,100,14
2,Médecine Générale,Santé et Professions médicales,7,Diplome,50,14
3,Pharmacie,Santé et Professions médicales,3,Diplome,40,14
4,Technologie médicale,Santé et Professions médicales,3,Diplome,30,14
1,Architecture,"Architecture, Urbanisme et Aménagement du territoire",5,Licence,15,11
2,Chimie,Biologie/Chimie,4,Licence,5,11
3,Génie Electromécanique,Sciences de l’Ingénieur,5,Licence,15,11
4,Génie Electronique,Sciences de l’Ingénieur,5,Licence,15,11
5,Génie Civil,Sciences de l’Ingénieur,5,Licence,15,11
6,Topographie,Sciences de l’Ingénieur,2,Diplome,15,11
1,Génie Civil,Sciences de l’Ingénieur,5,Diplome,350,64
2,Génie Electromécanique,Sciences de l’Ingénieur,5,Diplome,200,64
3,Génie Electronique,Sciences de l’Ingénieur,5,Diplome,170,64
1,Communication,Communication et Journalisme,4,Licence,5,17
2,Psychologie,Sciences Humaines et Sociales,4,Licence,15,17
3,Sociologie,Sciences Humaines et Sociales,4,Licence,40,17
4,Service Social,Sciences Humaines et Sociales,4,Licence,60,17
1,Sciences Infirmières,Santé et Professions médicales,4 ans,Diplome,16,362
1,Chirurgien-Dentiste,Santé et Professions médicales,5,Licence,15,15
1,Cuisine,"Tourisme, Hôtellerie et Restauration",-,Certificat,-,202
2,Patisserie,"Tourisme, Hôtellerie et Restauration",-,Certificat,-,202
1,Coupe couture,"Arts, Culture, Design et mode",2,Diplome,40 @ 50,150
2,Haute Couture,"Arts, Culture, Design et mode",2,Diplome,40 @ 50,150
3,Art - Floral,"Arts, Culture, Design et mode",2,Diplome,40 @ 50,150
4,Cuisine,"Tourisme, Hôtellerie et Restauration",2,Diplome,40 @ 50,150
5,Patisserie,"Tourisme, Hôtellerie et Restauration",2,Diplome,40 @ 50,150
6,Restauration,"Tourisme, Hôtellerie et Restauration",2,Diplome,40 @ 50,150
1,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2 ans,Technique,40-60,299
2,Gestion des Ressources Humaines,"Management/Gestion, Finance, Comptabilité et Commerce",2 ans,Technique,40-60,299
3,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",4 ans,Diplome,30-40,299
4,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",4 ans,Diplome,20-30,299
5,Finance et Banque,"Management/Gestion, Finance, Comptabilité et Commerce",4 ans,Diplome,30,299
6,Marketing,Marketing,18 mois,Technique,40-60,299
7,Génie Civil,Sciences de l’Ingénieur,5 ans,Licence,40,299
8,Technique Informatique,Sciences Informatiques,2,Technique,40-60,299
9,Télécommunication,Sciences Informatiques,2,Technique,40-60,299
10,Dépannage d'ordinateurs,Sciences Informatiques,1,Technique,40-60,299
11,Technique Informatique,Sciences Informatiques,6 mois,Technique,40-60,299
12,Réseau et Télécommunications,Sciences Informatiques,5 ans,Licence,50,299
13,Sciences Informatiques,Sciences Informatiques,5 ans,Technique,30-50,299
1,Technique Informatique,Sciences Informatiques,3-6 mois,Technique,30-50,147
1,Théologie,Sciences Humaines et Sociales,4 ans,Technique,30,83
1,Auxiliaire,Santé et Professions médicales,2 ans,Technique,25,351
2,Sciences Infirmières,Santé et Professions médicales,4 ans,Diplome,52,351
3,Pharmacie,Santé et Professions médicales,2 ans,Certificat,5,351
4,- - Non-defini - -,Santé et Professions médicales,2 ans,Technique,15,351
1,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",2 ans,Technique,40,377
2,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2 ans,Technique,60-70,377
3,Secrétariat,Secrétariat,2 ans,Technique,100,377
4,Assistante Administrative,Secrétariat,2 ans,Technique,50,377
1,Sciences Infirmières,Santé et Professions médicales,4,Diplome,60,263
2,Auxiliaire,Santé et Professions médicales,2 ans,Technique,80,263
3,Technologie médicale,Santé et Professions médicales,3 ans,Technique,50,263
4,Médecine communautaire,Santé et Professions médicales,1 an,Technique,30,263
5,Pharmacie,Santé et Professions médicales,2 ans,Technique,30,263
1,Sciences Infirmières,Santé et Professions médicales,4 ans,Technique,40,369
1,Sciences Infirmières,Santé et Professions médicales,4 ans,Technique,32,356
1,Secrétariat,Secrétariat,-,Technique,-,136
1,Coupe - Confect.Féminine,"Arts, Culture, Design et mode",-,Technique,-,132
2,Technique Informatique,Dactylographie,-,Technique,-,132
3,Electricité,Métiers du bâtiment et autres,-,Technique,-,132
4,Cuisine,"Tourisme, Hôtellerie et Restauration",-,Technique,-,132
1,Sciences Infirmières,Santé et Professions médicales,4,Certificat,15,255
1,Sciences Infirmières,Santé et Professions médicales,4,Certificat,25,244
2,Auxiliaire,Santé et Professions médicales,2,Certificat,12 à 15,244
1,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2,Technique,15-20,131
2,Technique Informatique,Sciences Informatiques,2,Technique,25,131
3,Secrétariat,Secrétariat,2,Diplome,20,131
1,Agronomie,Agriculture – Agroalimentaire,5,Licence,35,217
2,Technique Agricole,Agriculture – Agroalimentaire,2,Certificat,27,217
3,Environnement,Environnement et Sciences de la Terre,4,Diplome,35,217
4,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,60,217
5,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,70,217
6,Techniques Bancaires,"Management/Gestion, Finance, Comptabilité et Commerce",1,Certificat,20,217
7,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2,Certificat,26,217
8,Sciences Infirmières,Santé et Professions médicales,4,Diplome,30,217
9,Administration Scolaire,Sciences de l’Education,4,Diplome,40,217
10,Technique Informatique,Sciences Informatiques,1,Certificat,16,217
11,Assistante Administrative,Secrétariat,2,Certificat,18,217
12,Secrétariat,Secrétariat,2,Certificat,27,217
1,Hôtellerie,"Tourisme, Hôtellerie et Restauration",18 mois,Technique,30,235
2,Tourisme,"Tourisme, Hôtellerie et Restauration",18 mois,Technique,41,235
3,Patisserie,"Tourisme, Hôtellerie et Restauration",18 mois,Technique,40,235
1,Secrétariat,Secrétariat,2,Technique,20,308
2,Hôtellerie,"Tourisme, Hôtellerie et Restauration",2,Technique,15,308
1,Aménagement du territoire,"Architecture, Urbanisme et Aménagement du territoire",4,Licence,25,275
2,Gouvernance,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,15,275
3,Finance et Banque,"Management/Gestion, Finance, Comptabilité et Commerce",4,Diplome,20,275
4,Entrepreneuriat,"Management/Gestion, Finance, Comptabilité et Commerce",6 mois,Technique,10,275
5,Sciences politiques,Sciences économiques et politiques,4,Licence,25,275
1,Sciences Infirmières,Santé et Professions médicales,4,Diplome,30-40,238
1,Sciences Infirmières,Santé et Professions médicales,4,Licence,40,240
1,Sciences Infirmières,Santé et Professions médicales,4 ans,Diplome,30,370
1,Sciences Infirmières,Santé et Professions médicales,4,Licence,71,239
1,Technique Agricole,Agriculture – Agroalimentaire,2,Technique,20,311
2,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2,Certificat,20,311
3,Construction Bâtiment,Métiers du bâtiment et autres,2,Technique,20,311
4,Technique Informatique,Sciences Informatiques,1,Technique,15,311
1,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",4,Diplome,80,49
2,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",4 ans,Licence,50,49
3,Economie,Sciences économiques et politiques,4,Licence,90,49
1,Sciences Infirmières,Santé et Professions médicales,4,Licence,120,262
1,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2,Diplome,200,279
1,Sciences Infirmières,Santé et Professions médicales,4 ans,Technique,40,139
2,Technologie médicale,Santé et Professions médicales,3 ans,Technique,35,139
1,Biologie,Biologie/Chimie,2-4 ans,Master 1,1,384
2,Chimie,Biologie/Chimie,2-4 ans,Master 1,1,384
3,Administration Scolaire,Sciences de l’Education,2-4 ans,Master 1,1,384
1,Sciences Infirmières,Santé et Professions médicales,4 ans,Diplome,50,353
1,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,43,215
2,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,42,215
1,Espagnol,Langues et Lettres,4,Certificat,30,218
2,Anglais,Langues et Lettres,3 ans,Technique,40,218
1,Sciences Infirmières,Santé et Professions médicales,4,Diplome,124,237
2,Technologie médicale,Santé et Professions médicales,3 ans,Diplome,39,237
1,Anglais,Langues et Lettres,2,Certificat,20-25,341
2,Espagnol,Langues et Lettres,2,Certificat,20-25,341
3,Français Langue étrangère (FLE),Langues et Lettres,2,Certificat,20-25,341
1,Management/Gestion,"Management/Gestion, Finance, Comptabilité et Commerce",3,Licence,40,18
2,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",3,Licence,30,18
3,Diplomatie,Sciences économiques et politiques,3,Licence,30,18
4,Relations Internationales,Sciences économiques et politiques,3,Licence,40,18
1,Sciences Infirmières,Santé et Professions médicales,4 ans,Technique,14,354
1,Sciences Infirmières,Santé et Professions médicales,4 ans,Diplome,75,355
2,Auxiliaire,Santé et Professions médicales,3 ans,Certificat,25,355
3,Technologie médicale,Santé et Professions médicales,3 ans,Technique,42,355
1,Technologie médicale,Santé et Professions médicales,3,Diplome,25,254
2,Auxiliaire,Santé et Professions médicales,2,Diplome,20,254
3,Sciences Infirmières,Santé et Professions médicales,4,Diplome,40,254
4,Pharmacie,Santé et Professions médicales,1 an,Diplome,20,254
1,Art - Floral,"Arts, Culture, Design et mode",9 mois,Technique,8,334
2,Patisserie,"Tourisme, Hôtellerie et Restauration",6 mois,Technique,19,334
3,Cuisine,"Tourisme, Hôtellerie et Restauration",9 mois,Technique,47,334
4,Patisserie,"Tourisme, Hôtellerie et Restauration",9 mois,Technique,33,334
5,Patisserie,"Tourisme, Hôtellerie et Restauration",9 mois,Technique,30,334
