,id_,institutions,type_formations,telephones,adresses
295,71,Université Jean Price-Mars,Universitaire & Technique,"4374 7278, 3618 2487, 3683 4059, 2817 6071","7, Delmas 89, Rue L. Derance Imp. Oseille, Port-au-Prince, Ouest

49, Bois-Verna, Port-au-Prince, Haïti"
296,339,Université la Pléiade d'Haïti,Universitaire,"3420 1542,   3691 6702","Avenue Christophe #172, Port-au-Prince, Ouest
Rue Marcelin #34,Port-au-Prince, Ouest"
297,66,Université Lumière / MEBSH,Universitaire,"3730 3716, 3947 2971, 3827 4635","29, rue O , Port-au-Prince, 29, Rue O ; 14, 1ere Ruelle Riviere,Port-au-Prince, Ouest Petit-Goâve,Cayes, Sud"
298,78,Université Métropole d'Haïti,Universitaire,3815 9518,"Fond des Nègres, Route Nationale #2, Sud 
Avenue Christophe, Port-au-Prince, Ouest   Cayes, Sud  Cotes-de-Fer, Sud-Est"
299,44,Université Notre Dame d'Haïti,Universitaire,"2245 9522, 2812 4090-95, 3701-2230","20, Rue Garoute Pacot; 6, rue Sapotille, Pacot; 8, rue Baussan, Turgeau; 129, John Brown, Lalue, Port-au-Prince
126, Avenue John Brown (Ancien Local le Manoir), Port-au-Prince, Ouest
UNDH : 12, rue Sténio Vincent, Salle Jeanne D’Arc, CAYES
UNDH : 90, Rue 18 et L. Cap-Haitien
UNDH : 23, Avenue de Dattes, Gonaïves.
UNDH : Route Nationale no3, Sapaterre, Hinche"
300,231,Universite Nouvelle Grand Anse,Universitaire,"3634 5608, 3780 7722","Maison de la Grand Anse, 183 Angle Nord Alexis et Ave Poupelard
Décadé, km5, Route Jérémie, Les Irois, Grand Anse"
301,232,Université Para Medical (Université Bellevue),Universitaire,"2228 1541, 3890 0890","1, Rue Barreau Fontamara 27, Port-au-Prince, Ouest"
302,222,Université Providence d'Haïti,Universitaire,"3434 7255, 3721 1494, 3727 7676","9, Delmas 75, Rue Catalpa, Impasse Borno, Port-au-Prince, Ouest 
Campus Universitaire à Balan, Ganthier, blvd de l’université."
303,227,Université Publique de l'Artibonite aux Gonaives,Universitaire,"4789 2929,  3299 3642, 3619-8903, 3113-0646","45, rue Chrysostome 
Humbert, Gonaïves, Nord"
304,400,Université Publique de la Grand'Anse,Universitaire,509 3881 3225/,"Château, Jérémie, Grand'Anse"
305,343,Université Publique du Centre,Universitaire,"2811 0534 ,  2811 0533,  2811 1499","Papaye Hinche, Campus principal, Centre  Mirebalais, 154 Boulevard Jean Jacques Dessalines, Centre"
306,226,Université Publique du Nord (UPNCH),Universitaire,"3859 0016, 3687 5956, 3139 1748, 2260-3165, 3","Face au Village SOS Balan,
Habitation Baudin, Cap-Haitien, Nord"
307,230,Université publique du Sud (Cayes),Universitaire,"4895 1570 , 15 71 ,15 72, 3213-3320","Bergeaud, Route Nationale # 2, B.P. 131, Cayes, Sud"
308,397,Université Publique du Sud-Est à Jacmel,Universitaire,509 3691-0116 / 509 4703-8783,"Route de Meyer, Jacmel, Haïti"
309,48,Université Quisqueya,Universitaire,"2940 4587, 2817 2225, 2940 4584","218, Ave Jean Paul 2 , Turgeau, Port-au-Prince, Ouest"
310,359,Université Roi Henri Christophe,Technique,3324-9010,"20, Route Bel-Air, Cap Haitien, Nord"
311,371,Université Royale,Universitaire,3451-1227 / 3706-3223/ 2817 3413,"24, Debussy, Port-au-Prince, Ouest"
312,360,Université Valparaiso,Technique,3673-4444,"99,Rue Notre Dame, La coupe, Port-de Paix, Nord Ouest"
313,361,Université Wesleyenne d'Haïti School of Nursing Sciences,Technique,4659-3497,"5, Rue Hopital, La Gonave, Ouest"
314,301,Vocational School of Mercy & Sharing,Technique,"4757 5655,  3370 9702","Mercy & Sharing Fonds Baptiste Williamson, Ouest"
